id,Date_received,Product,Sub_product,Issue,Sub_issue,Consumer_complaint_narrative,Company_public_response,Company,State,ZIP_code,Tags,Consumer_consent_provided,Submitted_via,Date_sent_to_company,Company_response_to_consumer,Timely_response,Consumer_disputed,Complaint_ID
25133,2011-12-10,Mortgage,Conventional fixed mortgage,Credit decision / Underwriting,,,,BB&T CORPORATION,GA,30720,,,Web,12/12/2011,Closed without relief,Yes,Yes,4522
25318,2011-12-05,Credit card,,Billing disputes,,,,"CITIZENS FINANCIAL GROUP, INC.",IL,60464,,,Referral,12/5/2011,Closed with relief,Yes,No,2875
25428,2011-12-27,Mortgage,Conventional adjustable mortgage (ARM),Loan modification collection foreclosure,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,95448,,,Web,12/27/2011,Closed without relief,Yes,No,8113
25507,2011-12-03,Credit card,,Late fee,,,,"CITIBANK, N.A.",NJ,7465,Older American,,Web,12/6/2011,Closed with relief,Yes,No,2733
25585,2011-12-29,Mortgage,Other mortgage,Loan modification collection foreclosure,,,,JPMORGAN CHASE & CO.,TN,38012,,,Web,12/30/2011,Closed without relief,Yes,No,8630
25896,2011-12-06,Mortgage,Conventional adjustable mortgage (ARM),Loan modification collection foreclosure,,,,WELLS FARGO & COMPANY,CA,94578,,,Web,12/9/2011,Closed without relief,Yes,No,3133
26721,2011-12-08,Mortgage,Conventional fixed mortgage,Loan servicing  payments  escrow account,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",NJ,7734,,,Web,12/9/2011,Closed without relief,Yes,No,3787
26752,2011-12-02,Credit card,,Credit card protection / Debt protection,,,,JPMORGAN CHASE & CO.,NV,89121,,,Web,12/6/2011,Closed with relief,Yes,No,2675
27051,2011-12-23,Mortgage,Conventional fixed mortgage,Loan modification collection foreclosure,,,,OCWEN LOAN SERVICING LLC,GA,30019,,,Web,12/27/2011,Closed without relief,Yes,No,7809
27279,2011-12-05,Credit card,,Other,,,,JPMORGAN CHASE & CO.,CT,6479,,,Referral,12/5/2011,Closed without relief,Yes,No,2805
27936,2011-12-05,Mortgage,FHA mortgage,Loan servicing  payments  escrow account,,,,"SELECT PORTFOLIO SERVICING, INC.",OK,73044,Servicemember,,Web,3/21/2012,Closed with relief,Yes,No,86028
28183,2011-12-15,Credit card,,Balance transfer,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",NJ,8054,,,Referral,12/15/2011,Closed with relief,Yes,Yes,5959
28748,2011-12-03,Mortgage,Conventional fixed mortgage,Loan servicing  payments  escrow account,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",WA,98101,,,Web,12/6/2011,Closed without relief,Yes,No,2717
28790,2011-12-12,Credit card,,Credit reporting,,,,CAPITAL ONE FINANCIAL CORPORATION,GA,30034,,,Phone,12/13/2011,Closed without relief,Yes,No,4735
29808,2011-12-12,Credit card,,Credit reporting,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",FL,33762,,,Referral,12/12/2011,Closed with relief,Yes,No,4787
30295,2011-12-03,Credit card,,Billing disputes,,,,"CITIBANK, N.A.",NY,11106,,,Web,12/6/2011,Closed with relief,Yes,No,2718
30333,2011-12-12,Mortgage,Conventional fixed mortgage,Loan modification collection foreclosure,,,,WELLS FARGO & COMPANY,CA,92691,,,Web,12/13/2011,Closed without relief,Yes,No,4842
30334,2011-12-25,Credit card,,Payoff process,,,,JPMORGAN CHASE & CO.,PA,18813,,,Web,12/28/2011,Closed with relief,Yes,No,7919
30806,2011-12-16,Mortgage,Conventional fixed mortgage,Loan servicing  payments  escrow account,,,,"CITIBANK, N.A.",OR,97302,Older American,,Web,12/22/2011,Closed with relief,Yes,No,6215
31848,2011-12-21,Mortgage,Conventional fixed mortgage,Loan servicing  payments  escrow account,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",FL,32828,,,Web,12/21/2011,Closed without relief,No,No,7274
31922,2011-12-06,Mortgage,Conventional adjustable mortgage (ARM),Loan modification collection foreclosure,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",TX,75006,,,Web,12/8/2011,Closed without relief,Yes,No,3218
32183,2011-12-13,Mortgage,Other mortgage,Loan modification collection foreclosure,,,,"Caliber Home Loans, Inc.",GA,30068,,,Referral,5/21/2012,Closed without relief,Yes,No,5946
32889,2011-12-05,Credit card,,Identity theft / Fraud / Embezzlement,,,,SYNCHRONY FINANCIAL,AZ,85225,,,Referral,12/5/2011,Closed with relief,Yes,No,3077
33434,2011-12-29,Credit card,,Billing disputes,,,,JPMORGAN CHASE & CO.,FL,33496,,,Referral,12/29/2011,Closed without relief,Yes,No,69691
33513,2011-12-12,Credit card,,Credit reporting,,,,HSBC NORTH AMERICA HOLDINGS INC.,CA,92691,,,Web,12/13/2011,Closed without relief,Yes,Yes,4843
34276,2011-12-29,Mortgage,Reverse mortgage,Loan servicing  payments  escrow account,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",TX,76104,,,Web,12/30/2011,Closed without relief,Yes,No,8693
34807,2011-12-03,Mortgage,Conventional fixed mortgage,Application  originator  mortgage broker,,,,WELLS FARGO & COMPANY,MD,20816,Servicemember,,Web,12/6/2011,Closed without relief,Yes,Yes,2743
34816,2011-12-13,Mortgage,Conventional fixed mortgage,Loan modification collection foreclosure,,,,WELLS FARGO & COMPANY,NC,28270,,,Phone,12/16/2011,Closed without relief,Yes,No,5437
34930,2011-12-02,Credit card,,Other,,,,CAPITAL ONE FINANCIAL CORPORATION,,,"Older American, Servicemember",,Phone,12/8/2011,Closed with relief,Yes,No,64982
35437,2011-12-16,Mortgage,Other mortgage,Loan modification collection foreclosure,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",AZ,85750,,,Web,12/19/2011,Closed with relief,Yes,Yes,6129
35464,2011-12-01,Credit card,,Application processing delay,,,,JPMORGAN CHASE & CO.,CT,6106,,,Referral,12/1/2011,Closed without relief,Yes,No,2216
36416,2011-12-08,Mortgage,Other mortgage,Loan modification collection foreclosure,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,92130,,,Web,12/11/2011,Closed without relief,No,No,4200
36534,2011-12-31,Credit card,,Credit reporting,,,,"CITIBANK, N.A.",MD,20910,Servicemember,,Web,1/3/2012,Closed with relief,Yes,No,8990
36817,2011-12-30,Mortgage,FHA mortgage,Loan servicing  payments  escrow account,,,,JPMORGAN CHASE & CO.,VA,24065,,,Web,12/30/2011,Closed without relief,Yes,No,8745
36908,2011-12-08,Credit card,,Billing disputes,,,,CAPITAL ONE FINANCIAL CORPORATION,MO,65336,,,Referral,12/8/2011,Closed without relief,Yes,No,3876
37618,2011-12-28,Credit card,,Identity theft / Fraud / Embezzlement,,,,UNITED SERVICES AUTOMOBILE ASSOCIATION,FL,33496,,,Referral,12/28/2011,Untimely response,No,No,8218
37734,2011-12-19,Mortgage,Other mortgage,Settlement process and costs,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",MN,55410,Older American,,Web,12/20/2011,Closed without relief,Yes,No,6779
38438,2011-12-05,Credit card,,Collection debt dispute,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,95648,,,Referral,12/5/2011,Closed with relief,Yes,No,2937
38768,2011-12-13,Mortgage,Other mortgage,Loan servicing  payments  escrow account,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,91950,Servicemember,,Web,12/15/2011,Closed without relief,Yes,No,5134
38944,2011-12-20,Credit card,,Identity theft / Fraud / Embezzlement,,,,DISCOVER BANK,VA,5739,,,Referral,12/21/2011,Closed without relief,Yes,No,7367
39042,2011-12-05,Credit card,,Application processing delay,,,,FIRST NATIONAL BANK OF OMAHA,OR,97213,,,Web,12/6/2011,Closed with relief,No,No,2897
39069,2011-12-29,Mortgage,Other mortgage,Application  originator  mortgage broker,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,94548,,,Postal mail,1/4/2012,Closed without relief,Yes,No,8709
39072,2011-12-16,Mortgage,Other mortgage,Loan modification collection foreclosure,,,,M&T BANK CORPORATION,CA,95503,,,Referral,1/6/2012,Closed with relief,Yes,No,6866
39326,2011-12-20,Mortgage,Other mortgage,Loan modification collection foreclosure,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",NJ,8234,,,Email,12/20/2011,Closed without relief,No,No,7096
39458,2011-12-22,Mortgage,Other mortgage,Loan servicing  payments  escrow account,,,,"CITIBANK, N.A.",MD,20882,,,Referral,12/22/2011,Closed without relief,Yes,No,7569
39570,2011-12-06,Mortgage,Other mortgage,Loan modification collection foreclosure,,,,"ARVEST BANK GROUP, INC.",MA,1887,,,Referral,12/12/2011,Closed without relief,Yes,Yes,4416
39642,2011-12-02,Mortgage,Conventional fixed mortgage,Settlement process and costs,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",TX,76244,,,Web,12/6/2011,Closed without relief,Yes,No,2683
39649,2011-12-16,Mortgage,Conventional fixed mortgage,Loan modification collection foreclosure,,,,WELLS FARGO & COMPANY,FL,33647,,,Web,12/19/2011,Closed without relief,Yes,Yes,6148
39873,2011-12-16,Mortgage,VA mortgage,Loan modification collection foreclosure,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,92545,Servicemember,,Web,12/21/2011,Closed without relief,Yes,Yes,6113
40153,2011-12-07,Credit card,,Collection debt dispute,,,,CAPITAL ONE FINANCIAL CORPORATION,NC,28226,,,Referral,12/7/2011,Closed without relief,Yes,No,3634
40544,2011-12-15,Mortgage,Other mortgage,Loan modification collection foreclosure,,,,"SUNTRUST BANKS, INC.",TN,37076,,,Referral,12/15/2011,Closed with relief,Yes,No,5948
40969,2011-12-30,Mortgage,Conventional fixed mortgage,Loan modification collection foreclosure,,,,"CITIBANK, N.A.",NJ,8052,,,Web,1/3/2012,Closed with relief,Yes,Yes,8828
41156,2011-12-13,Mortgage,Conventional fixed mortgage,Loan modification collection foreclosure,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",HI,96786,,,Web,12/16/2011,Closed without relief,No,No,5164
41194,2011-12-12,Mortgage,Conventional fixed mortgage,Loan modification collection foreclosure,,,,WELLS FARGO & COMPANY,SC,29545,,,Web,12/16/2011,Closed without relief,Yes,No,5066
41524,2011-12-06,Credit card,,APR or interest rate,,,,BARCLAYS BANK DELAWARE,IN,47394,,,Referral,12/9/2011,Closed without relief,Yes,No,4353
41694,2011-12-30,Credit card,,Billing disputes,,,,"CITIBANK, N.A.",CA,91106,,,Web,12/30/2011,Closed without relief,Yes,Yes,78464
42074,2011-12-22,Credit card,,APR or interest rate,,,,"CITIBANK, N.A.",PA,15044,"Older American, Servicemember",,Phone,12/27/2011,Closed without relief,Yes,No,7697
42259,2011-12-08,Mortgage,Conventional fixed mortgage,Loan servicing  payments  escrow account,,,,JPMORGAN CHASE & CO.,CA,93060,Older American,,Phone,12/10/2011,Closed without relief,Yes,No,4033
42563,2011-12-31,Mortgage,Conventional fixed mortgage,Loan modification collection foreclosure,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,91913,,,Web,1/3/2012,Closed without relief,No,No,8961
42620,2011-12-23,Credit card,,Delinquent account,,,,CAPITAL ONE FINANCIAL CORPORATION,NH,3103,,,Web,12/27/2011,Closed without relief,Yes,Yes,7780
42863,2011-12-16,Mortgage,FHA mortgage,Loan modification collection foreclosure,,,,WELLS FARGO & COMPANY,VA,20106,Servicemember,,Phone,12/21/2011,Closed without relief,Yes,No,6161
43267,2011-12-08,Mortgage,FHA mortgage,Loan modification collection foreclosure,,,,WELLS FARGO & COMPANY,IL,60115,,,Web,12/11/2011,Closed without relief,Yes,No,4077
43442,2011-12-20,Credit card,,Billing disputes,,,,CAPITAL ONE FINANCIAL CORPORATION,NC,28314,,,Web,1/29/2012,Closed with relief,Yes,Yes,7152
43564,2011-12-05,Credit card,,Closing/Cancelling account,,,,AMERICAN EXPRESS COMPANY,NY,10580,,,Web,12/6/2011,Closed with relief,Yes,No,2801
43690,2011-12-24,Credit card,,Customer service / Customer relations,,,,JPMORGAN CHASE & CO.,CT,6612,,,Web,12/27/2011,Closed without relief,Yes,Yes,7907
43833,2011-12-21,Mortgage,VA mortgage,Loan modification collection foreclosure,,,,VIRGINIA HOUSING DEVELOPMENT AUTHORITY,VA,24572,Servicemember,,Web,8/22/2012,Closed with explanation,Yes,No,7272
45036,2011-12-22,Mortgage,Conventional fixed mortgage,Loan modification collection foreclosure,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,90076,,,Phone,12/27/2011,Closed without relief,Yes,No,7748
45417,2011-12-12,Credit card,,Billing statement,,,,"CITIBANK, N.A.",NY,14094,,,Referral,12/12/2011,Closed without relief,Yes,No,4996
45603,2011-12-05,Credit card,,Credit reporting,,,,CAPITAL ONE FINANCIAL CORPORATION,NY,11798,,,Referral,12/6/2011,Closed without relief,Yes,Yes,2821
46098,2011-12-08,Mortgage,Conventional fixed mortgage,Loan servicing  payments  escrow account,,,,M&T BANK CORPORATION,NY,14150,,,Web,12/10/2011,Closed with relief,No,No,3941
46457,2011-12-27,Mortgage,FHA mortgage,Loan modification collection foreclosure,,,,"CITIBANK, N.A.",LA,70812,,,Referral,12/29/2011,Closed without relief,Yes,No,7978
46735,2011-12-22,Mortgage,Conventional fixed mortgage,Application  originator  mortgage broker,,,,JPMORGAN CHASE & CO.,AZ,85021,,,Web,12/22/2011,Closed with relief,Yes,No,7602
46754,2011-12-10,Mortgage,Home equity loan or line of credit,Application  originator  mortgage broker,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",NC,27560,,,Web,12/12/2011,Closed without relief,Yes,Yes,4459
46776,2011-12-13,Mortgage,Other mortgage,Application  originator  mortgage broker,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,91344,,,Web,12/16/2011,Closed without relief,No,No,5500
47041,2011-12-29,Credit card,,Identity theft / Fraud / Embezzlement,,,,JPMORGAN CHASE & CO.,NJ,8831,,,Referral,12/29/2011,Closed without relief,No,No,69700
47170,2011-12-14,Credit card,,Collection debt dispute,,,,BARCLAYS BANK DELAWARE,CA,92553,,,Web,12/19/2011,Closed with relief,Yes,No,5677
47583,2011-12-02,Credit card,,Closing/Cancelling account,,,,HSBC NORTH AMERICA HOLDINGS INC.,WA,98362,,,Referral,12/2/2011,Closed without relief,Yes,No,2504
47591,2011-12-08,Mortgage,Conventional adjustable mortgage (ARM),Loan servicing  payments  escrow account,,,,OCWEN LOAN SERVICING LLC,NJ,8536,,,Web,12/12/2011,Closed without relief,Yes,No,4016
47794,2011-12-09,Mortgage,Conventional adjustable mortgage (ARM),Loan modification collection foreclosure,,,,WELLS FARGO & COMPANY,DE,19955,,,Web,12/12/2011,Closed without relief,Yes,Yes,4340
48096,2011-12-06,Credit card,,APR or interest rate,,,,JPMORGAN CHASE & CO.,CT,6807,,,Referral,12/6/2011,Closed without relief,Yes,No,3210
